listener,listener_trial,level_condition,sound_heard,listener_response,proportion_correct,typical_source_intensity
5,257,1,door creaking,door creaking,1,2
5,258,5,pinball,pinball,1,high-intensity
5,259,3,hawk screech,hawk screech,1,3
5,260,5,screwing in a nail,screwing in a nail,1,2
5,261,5,italian,italian,1,2
5,262,7,liquid pouring out of a bottle,liquid pouring out of a bottle,1,2
5,263,6,crying,crying,1,high-intensity
5,264,3,waves,pool balls colliding,0,3
5,265,3,gorilla,gorilla,1,3
5,266,3,shower,balloondeflating,0,3
5,267,7,laughing,laughing,1,high-intensity
5,268,2,banjo,banjo,1,high-intensity
5,269,4,turkey gobble,turkey gobble,1,3
5,270,7,grandfather clock,grandfather clock,1,3
5,271,5,paper tearing,wing flapping,0,low-intensity
5,272,2,crowd laughing,crowd laughing,1,high-intensity
5,273,3,plane taking off,plane taking off,1,high-intensity
5,274,6,thunder,zipper,0,high-intensity
5,275,1,Indian,Indian,1,2
5,276,1,dishes clanking,dishes clanking,1,3
5,277,3,tooth brushing,tooth brushing,1,low-intensity
5,278,4,swimming,swimming,1,2
5,279,2,coins dropping,coins dropping,1,low-intensity
5,280,3,arabic,arabic,1,2
5,281,4,writing on a whiteboard,writing on a whiteboard,1,low-intensity
5,282,6,drawer closing,drawer closing,1,low-intensity
5,283,5,record scratching,record scratching,1,2
5,284,4,lawn mower,lawn mower,1,high-intensity
5,285,3,newspaper page turning,newspaper page turning,1,low-intensity
5,286,2,car engine starting,car engine starting,1,3
5,287,5,walking on gravel,walking on gravel,1,2
5,288,5,biting and chewing,biting and chewing,1,2
5,289,3,cicadas,cicadas,1,3
5,290,4,fire,fire,1,low-intensity
5,291,3,tractor,shopping cart,0,high-intensity
5,292,2,hammering metal,coins dropping,0,high-intensity
5,293,7,radar beeps,radar beeps,1,2
5,294,7,door sliding shut,door sliding shut,1,low-intensity
5,295,4,glass shattering,glass shattering,1,high-intensity
5,296,5,race car,race car,1,high-intensity
5,297,3,slot machine,slot machine,1,high-intensity
5,298,6,heart beats,heart beats,1,low-intensity
5,299,1,dentist drill,dentist drill,1,high-intensity
5,300,7,opening a soda bottle,rubbing cloth,0,low-intensity
6,1,4,locker closing,locker closing,1,3
6,2,3,motorcycle revving,motorcycle revving,1,high-intensity
6,3,7,shouting,shouting,1,high-intensity
6,4,7,bird song,bird song,1,2
6,5,7,monkey screaming,monkey screaming,1,high-intensity
6,6,3,cuckoo clock,cuckoo clock,1,3
6,7,3,chopping food,chopping food,1,low-intensity
6,8,3,window blinds,window blinds,1,2
6,9,2,scrubbing dishes,bathwater,0,2
6,10,7,slot machine,slot machine,1,high-intensity
6,11,4,triangle,triangle,1,2
6,12,3,siren,siren,1,high-intensity
6,13,5,car horn,car horn,1,high-intensity
6,14,2,paper cutter,paper cutter,1,low-intensity
6,15,1,truck beeping,truck beeping,1,high-intensity
6,16,4,ratchet,ratchet,1,2
6,17,2,hawk screech,hawk screech,1,3
6,18,1,sports arena buzzer,sports arena buzzer,1,high-intensity
6,19,4,crowd booing,crowd booing,1,high-intensity
6,20,1,wind chimes,wind chimes,1,3
6,21,5,hammering metal,hammering metal,1,high-intensity
6,22,3,turning a lock,pepper grinder,0,low-intensity
6,23,2,dog panting,rotary telephone dialer,0,2
6,24,7,acoustic bass,acoustic bass,1,2
6,25,1,chainsaw revving,chainsaw revving,1,high-intensity
6,26,1,stones tumbling,shuffling,0,2
6,27,1,screwing off a lid,peeling,0,low-intensity
6,28,2,dial tone,dial tone,1,low-intensity
6,29,3,crowd noise,dishes clanking,0,high-intensity
6,30,7,tractor,tractor,1,high-intensity
6,31,7,school hallway,school hallway,1,high-intensity
6,32,7,dog barking,dog barking,1,high-intensity
6,33,2,school bell,school bell,1,high-intensity
6,34,6,walking with heels,walking with heels,1,2
6,35,7,marching,marching,1,3
6,36,3,thunder,thunder,1,high-intensity
6,37,4,german,german,1,2
6,38,3,morse code,morse code,1,3
6,39,1,kettle whistling,kettle whistling,1,3
6,40,5,wind,wind,1,2
6,41,3,guitar,guitar,1,3
6,42,6,newspaper page turning,newspaper page turning,1,low-intensity
6,43,1,scratching,scratching,1,low-intensity
6,44,7,fireworks,fireworks,1,high-intensity
6,45,5,knives sharpening,knives sharpening,1,2
6,46,1,clarinet,clarinet,1,3
6,47,2,telephone ringing,telephone ringing,1,high-intensity
6,48,1,car alarm,car alarm,1,high-intensity
6,49,2,wing flapping,printing,0,low-intensity
6,50,4,owl hooting,owl hooting,1,low-intensity
6,51,3,glass shattering,glass shattering,1,high-intensity
6,52,3,traffic noises,traffic noises,1,high-intensity
6,53,4,shower,shower,1,3
6,54,2,heart beats,heart beats,1,low-intensity
6,55,3,dialing,dialing,1,low-intensity
6,56,1,seal,seal,1,3
6,57,1,church bells,church bells,1,high-intensity
6,58,2,tambourine,tambourine,1,3
6,59,1,piano,piano,1,3
6,60,3,fire,fire,1,low-intensity
6,61,5,tree falling,tree falling,1,high-intensity
6,62,6,pool balls colliding,pool balls colliding,1,3
6,63,3,key opening door,spray can spraying,0,low-intensity
6,64,2,sipping,sipping,1,2
6,65,3,whistle,whistle,1,high-intensity
6,66,2,dog drinking,dog drinking,1,2
6,67,2,match lighting,match lighting,1,low-intensity
6,68,3,water splashing,water splashing,1,3
6,69,4,clipping hair,clipping hair,1,low-intensity
6,70,3,car windows,car windows,1,2
6,71,2,radar beeps,radar beeps,1,2
6,72,7,fax,fax,1,2
6,73,1,bicycle,bicycle,1,low-intensity
6,74,3,door sliding shut,door sliding shut,1,low-intensity
6,75,2,rocking chair,rocking chair,1,3
6,76,7,waves,waves,1,3
6,77,2,crow,crow,1,3
6,78,6,chiseling,chiseling,1,2
6,79,7,tap dancing,tap dancing,1,high-intensity
6,80,2,jumping rope,jumping rope,1,2
6,81,5,walking on a hard surface,walking on a hard surface,1,2
6,82,5,bowling,bowling,1,high-intensity
6,83,6,dove cooing,owl hooting,0,low-intensity
6,84,4,radio static,radio static,1,3
6,85,5,drawer opening,grating food,0,low-intensity
6,86,3,screwing in a nail,screwing in a nail,1,2
6,87,1,cymbol crash,cymbol crash,1,high-intensity
6,88,5,can opening,can opening,1,low-intensity
6,89,1,bass drum hits,bass drum hits,1,high-intensity
6,90,2,jackhammer,jackhammer,1,high-intensity
6,91,4,camera turning on,camera turning on,1,low-intensity
6,92,3,violin,violin,1,3
6,93,1,printing,printing,1,3
6,94,1,gorilla,gorilla,1,3
6,95,4,busy signal,busy signal,1,2
6,96,4,doorbell,doorbell,1,high-intensity
6,97,6,harmonica,harmonica,1,3
6,98,4,slicing bread,slicing bread,1,low-intensity
6,99,1,orchestra tuning,orchestra tuning,1,high-intensity
6,100,7,rattlesnake,winding up a device,0,2
6,101,7,drum solo,drum solo,1,high-intensity
6,102,6,train warning bell,train warning bell,1,high-intensity
6,103,6,scream,scream,1,high-intensity
6,104,1,toy squeaks,toy squeaks,1,3
6,105,1,ping pong,ping pong,1,3
6,106,2,car accelerating,car accelerating,1,2
6,107,3,camera taking a picture,camera taking a picture,1,2
6,108,5,running on sand,running on sand,1,low-intensity
6,109,3,dice roll,dice roll,1,low-intensity
6,110,6,tennis volley,tennis volley,1,3
6,111,6,running up stairs,running up stairs,1,2
6,112,5,brushing hair,brushing hair,1,low-intensity
6,113,7,lion growl,lion growl,1,high-intensity
6,114,6,arabic,arabic,1,2
6,115,3,coughing,coughing,1,3
6,116,7,darth vader,darth vader,1,2
6,117,7,bees,bees,1,low-intensity
6,118,2,whale call,whale call,1,2
6,119,2,balloon deflating,skate boarding,0,2
6,120,6,inflating a balloon,rubbing hands,0,low-intensity
6,121,7,helicopter,helicopter,1,high-intensity
6,122,5,air hockey,air hockey,1,3
6,123,7,chicken cluck,chicken cluck,1,2
6,124,2,bike bell,bike bell,1,2
6,125,6,shopping cart,printing,0,2
6,126,1,coins dropping,coins dropping,1,low-intensity
6,127,5,cicadas,cicadas,1,3
6,128,6,basketball dribbling,basketball dribbling,1,2
6,129,1,opening a soda bottle,rollerblading,0,low-intensity
6,130,6,windows startup sound,windows startup sound,1,2
6,131,3,flute,flute,1,3
6,132,4,geese honking,geese honking,1,3
6,133,6,cash register,cash register,1,2
6,134,1,bus decelerating,hair dryer,0,3
6,135,3,knocking on door,knocking on door,1,3
6,136,1,dog whining,coughing,0,3
6,137,6,seagulls,geese,0,3
6,138,4,toilet flushing,toilet flushing,1,2
6,139,6,laughing,laughing,1,high-intensity
6,140,7,clock ticking,clock ticking,1,low-intensity
6,141,6,car driving through a puddle,car driving through a puddle,1,2
6,142,3,bassoon,bassoon,1,3
6,143,2,crumpling paper,crumpling paper,1,2
6,144,5,shoveling,shoveling,1,2
6,145,4,kid speaking,kid speaking,1,3
6,146,6,rubbing hands,rubbing hands,1,low-intensity
6,147,4,water boiling,water boiling,1,low-intensity
6,148,3,fan,fan,1,2
6,149,7,baby crying,baby crying,1,high-intensity
6,150,3,dialup,dialup,1,3
6,151,3,velcro,velcro,1,low-intensity
6,152,3,lawn mower,lawn mower,1,high-intensity
6,153,4,duck quack,duck quack,1,3
6,154,3,coffee machine,car driving through a puddle,0,low-intensity
6,155,6,car engine starting,car engine starting,1,3
6,156,1,bear growling,bear growling,1,3
6,157,4,castanet,tap dancing,0,3
6,158,7,ice in cup,ice in cup,1,low-intensity
6,159,6,liquid pouring out of a bottle,liquid pouring out of a bottle,1,2
6,160,4,man speaking,man speaking,1,2
6,161,4,finger tapping,finger tapping,1,low-intensity
6,162,3,gong,gong,1,high-intensity
6,163,4,door opening,door opening,1,2
6,164,5,phone vibrating,phone vibrating,1,low-intensity
6,165,3,horse galloping,horse galloping,1,2
6,166,6,plane taking off,plane taking off,1,high-intensity
6,167,7,door creaking,door creaking,1,2
6,168,4,electric drill,electric drill,1,high-intensity
6,169,1,volcanic eruption,volcanic eruption,1,high-intensity
6,170,6,roulette wheel,roulette wheel,1,2
6,171,6,crowd cheering,crowd cheering,1,high-intensity
6,172,6,paper tearing,paper tearing,1,low-intensity
6,173,4,grating food,grating food,1,low-intensity
6,174,7,spray can shaking,spray can shaking,1,2
6,175,3,sighing,sighing,1,low-intensity
6,176,2,sheep,sheep,1,3
6,177,6,bathwater,bathwater,1,2
6,178,4,car deccelerating,bus accelerating,0,low-intensity
6,179,1,drink fizzing,drink fizzing,1,low-intensity
6,180,4,scissors cutting paper,scissors cutting paper,1,low-intensity
6,181,4,music box,music box,1,low-intensity
6,182,6,cricket,cricket,1,2
6,183,5,drinking,drinking,1,low-intensity
6,184,6,windup toy,windup toy,1,low-intensity
6,185,5,popcorn popping,popcorn popping,1,3
6,186,4,peeling,peeling,1,low-intensity
6,187,4,gavel hits,gavel hits,1,3
6,188,6,hammering a nail,knocking on door,0,high-intensity
6,189,1,boat horn,boat horn,1,high-intensity
6,190,3,oldfashioned dialer,oldfashioned dialer,1,low-intensity
6,191,4,frying,frying,1,2
6,192,2,car idling,dialup internet,0,low-intensity
6,193,3,dentist drill,dentist drill,1,high-intensity
6,194,1,vacuum,truck,0,high-intensity
6,195,4,paper shredder,ice machine,0,high-intensity
6,196,3,soda pouring into a cup,soda pouring into a cup,1,low-intensity
6,197,2,shaving with electric razor,shaving with electric razor,1,2
6,198,6,pinball,pinball,1,high-intensity
6,199,6,train whistle,train whistle,1,high-intensity
6,200,2,electric bass,electric bass,1,3
6,201,5,fire alarm,fire alarm,1,high-intensity
6,202,5,grunting and groaning,grunting and groaning,1,2
6,203,4,chopping wood,chopping wood,1,3
6,204,6,explosion,explosion,1,high-intensity
6,205,5,car skidding,car skidding,1,high-intensity
6,206,3,banjo,banjo,1,high-intensity
6,207,6,train passing by,train passing by,1,high-intensity
6,208,3,shuffling,walking on gravel,0,low-intensity
6,209,1,mac startup sound,mac startup sound,1,low-intensity
6,210,1,grandfather clock,grandfather clock,1,3
6,211,2,keys jingling,keys jingling,1,low-intensity
6,212,7,a capella singing,a capella singing,1,3
6,213,2,film reel,film reel,1,3
6,214,3,walking on leaves,walking on leaves,1,2
6,215,3,nose blowing,nose blowing,1,3
6,216,2,giggling,giggling,1,3
6,217,7,reception desk bell,reception desk bell,1,3
6,218,7,chinese,chinese,1,3
6,219,2,rollerblading,rollerblading,1,3
6,220,6,sleigh bells,sleigh bells,1,3
6,221,2,skate boarding,skate boarding,1,2
6,222,3,ringtone,ringtone,1,3
6,223,1,walking on gravel,walking on gravel,1,2
6,224,1,coins jingling in a pocket,coins jingling in a pocket,1,2
6,225,3,cartoon sound effects,tap dancing,0,3
6,226,6,tooth brushing,tooth brushing,1,low-intensity
6,227,4,baby babbling,baby babbling,1,3
6,228,1,alarm clock,alarm clock,1,high-intensity
6,229,6,blender,blender,1,high-intensity
6,230,4,chair rolling,chair rolling,1,low-intensity
6,231,6,hand saw,hand saw,1,high-intensity
6,232,2,french,french,1,2
6,233,1,rooster crowing,rooster crowing,1,high-intensity
6,234,5,accordian,accordian,1,high-intensity
6,235,7,writing on a chalkboard,writing on a chalkboard,1,2
6,236,5,opening a letter,opening a letter,1,low-intensity
6,237,7,Indian,Indian,1,2
6,238,7,ice machine,rubbing cloth,0,2
6,239,7,spray can spraying,roulette wheel,0,low-intensity
6,240,3,zipper,zipper,1,low-intensity
6,241,5,typing,typing,1,low-intensity
6,242,1,breathing,breathing,1,low-intensity
6,243,3,harp,harp,1,2
6,244,4,biting and chewing,grating food,0,2
6,245,5,swimming,swimming,1,2
6,246,5,drawer closing,fax,0,low-intensity
6,247,1,writing on a whiteboard,rocking chair,0,low-intensity
6,248,5,sails flapping,sails flapping,1,3
6,249,3,spanish,spanish,1,3
6,250,2,leather coat,leather coat,1,low-intensity
6,251,2,noisemaker,noisemaker,1,high-intensity
6,252,3,italian,italian,1,2
6,253,3,coloring,coloring,1,low-intensity
6,254,1,truck,train passing by,0,high-intensity
6,255,7,bagpipes,bagpipes,1,high-intensity
6,256,1,woman speaking,woman speaking,1,3
6,257,7,coin in a vending machine,coin in a vending machine,1,low-intensity
6,258,6,tuba,tuba,1,3
6,259,3,bus accelerating,bus accelerating,1,2
6,260,2,cat purring,cat purring,1,low-intensity
6,261,2,writing on paper,writing on paper,1,low-intensity
6,262,3,wolves howlling,wolves howlling,1,2
6,263,7,cat meow,cat meow,1,2
6,264,7,turkey gobble,turkey gobble,1,3
6,265,2,crying,crying,1,high-intensity
6,266,5,oboe,oboe,1,3
6,267,6,heart monitor,heart monitor,1,3
6,268,5,pig snorting,pig snorting,1,3
6,269,7,pepper grinder,pepper grinder,1,2
6,270,4,rain,rain,1,3
6,271,3,microwave,microwave,1,low-intensity
6,272,6,pager beeps,pager beeps,1,3
6,273,7,russian,russian,1,2
6,274,7,record scratching,record scratching,1,2
6,275,2,gunshots,gunshots,1,high-intensity
6,276,1,race car,race car,1,high-intensity
6,277,4,gargling,gargling,1,low-intensity
6,278,4,rubbing cloth,rubbing cloth,1,low-intensity
6,279,2,cello,cello,1,3
6,280,3,frog croaking,frog croaking,1,2
6,281,6,water dripping,water dripping,1,low-intensity
6,282,7,applause,applause,1,high-intensity
6,283,1,witch cackle,witch cackle,1,high-intensity
6,284,1,elevator door,elevator door,1,2
6,285,7,car crash,car crash,1,high-intensity
6,286,3,dishes clanking,dishes clanking,1,3
6,287,7,stream,rain,0,low-intensity
6,288,1,running on a hard surface,running on a hard surface,1,2
6,289,5,horse neighing,horse neighing,1,3
6,290,3,salt shaker,salt shaker,1,low-intensity
6,291,7,hair dryer,train passing by,0,high-intensity
6,292,7,crowd laughing,crowd laughing,1,high-intensity
6,293,1,cow mooing,cow mooing,1,3
6,294,5,humming,humming,1,low-intensity
6,295,1,running on gravel,running on gravel,1,3
6,296,5,organ,organ,1,high-intensity
6,297,6,whistling,whistling,1,2
6,298,5,sword fighting,sword fighting,1,3
6,299,4,drum roll,leather coat,0,high-intensity
6,300,7,flag,flag,1,low-intensity
7,1,5,finger tapping,finger tapping,1,low-intensity
7,2,4,train whistle,train whistle,1,high-intensity
7,3,7,car accelerating,car accelerating,1,2
7,4,5,knocking on door,knocking on door,1,3
7,5,7,coughing,coughing,1,3
7,6,3,car skidding,car skidding,1,high-intensity
7,7,7,dog drinking,dog drinking,1,2
7,8,5,rollerblading,rollerblading,1,3
7,9,5,sleigh bells,sleigh bells,1,3
7,10,4,hand saw,hand saw,1,high-intensity
7,11,7,truck,jackhammer,0,high-intensity
7,12,1,rain,dog drinking,0,3
7,13,6,printing,printing,1,3
7,14,7,drawer closing,fax,0,low-intensity
7,15,7,plane taking off,plane taking off,1,high-intensity
7,16,7,harmonica,harmonica,1,3
7,17,7,drawer opening,drawer opening,1,low-intensity
7,18,6,applause,applause,1,high-intensity
7,19,6,boat horn,boat horn,1,high-intensity
7,20,2,walking on leaves,walking on leaves,1,2
7,21,7,morse code,morse code,1,3
7,22,4,roulette wheel,roulette wheel,1,2
7,23,5,alarm clock,alarm clock,1,high-intensity
7,24,4,hair dryer,hair dryer,1,high-intensity
7,25,6,sports arena buzzer,sports arena buzzer,1,high-intensity
7,26,1,car engine starting,car engine starting,1,3
7,27,1,velcro,velcro,1,low-intensity
7,28,2,rubbing cloth,rubbing cloth,1,low-intensity
7,29,5,liquid pouring out of a bottle,liquid pouring out of a bottle,1,2
7,30,6,paper shredder,paper shredder,1,high-intensity
7,31,6,coins dropping,coins dropping,1,low-intensity
7,32,5,Indian,Indian,1,2
7,33,1,typing,typing,1,low-intensity
7,34,7,fire alarm,fire alarm,1,high-intensity
7,35,6,clarinet,tuba,0,3
7,36,1,oboe,oboe,1,3
7,37,2,running on a hard surface,running on a hard surface,1,2
7,38,3,crying,crying,1,high-intensity
7,39,7,running on gravel,running on gravel,1,3
7,40,5,drink fizzing,drink fizzing,1,low-intensity
7,41,1,popcorn popping,popcorn popping,1,3
7,42,6,humming,humming,1,low-intensity
7,43,1,marching,grating food,0,3
7,44,6,cat meow,dog whining,0,2
7,45,2,kettle whistling,kettle whistling,1,3
7,46,7,bus accelerating,bus accelerating,1,2
7,47,6,kid speaking,kid speaking,1,3
7,48,3,giggling,giggling,1,3
7,49,3,race car,race car,1,high-intensity
7,50,6,violin,violin,1,3
7,51,3,door creaking,door creaking,1,2
7,52,3,electric drill,electric drill,1,high-intensity
7,53,7,pinball,pinball,1,high-intensity
7,54,1,pager beeps,pager beeps,1,3
7,55,7,cash register,cash register,1,2
7,56,3,frying,film reel turning,0,2
7,57,5,turkey gobble,turkey gobble,1,3
7,58,4,wind,wind,1,2
7,59,2,opening a letter,opening a letter,1,low-intensity
7,60,4,guitar,guitar,1,3
7,61,5,ringtone,ringtone,1,3
7,62,7,screwing off a lid,screwing off a lid,1,low-intensity
7,63,3,stones tumbling,shuffling,0,2
7,64,7,dial tone,dial tone,1,low-intensity
7,65,1,sipping,sipping,1,2
7,66,4,hawk screech,hawk screech,1,3
7,67,3,cymbol crash,cymbol crash,1,high-intensity
7,68,6,balloon deflating,balloon deflating,1,2
7,69,4,dialup,dialup,1,3
7,70,4,ping pong,ping pong,1,3
7,71,1,scissors cutting paper,scissors cutting paper,1,low-intensity
7,72,2,turning a lock,pepper grinder,0,low-intensity
7,73,6,film reel,film reel,1,3
7,74,6,stream,stream,1,low-intensity
7,75,6,jumping rope,jumping rope,1,2
7,76,4,running on sand,running on sand,1,low-intensity
7,77,7,gong,gong,1,high-intensity
7,78,3,radio static,radio static,1,3
7,79,2,fire,fire,1,low-intensity
7,80,4,water dripping,water dripping,1,low-intensity
7,81,7,grating food,grating food,1,low-intensity
7,82,5,newspaper page turning,newspaper page turning,1,low-intensity
7,83,4,paper tearing,paper tearing,1,low-intensity
7,84,7,coloring,rattlesnake,0,low-intensity
7,85,1,paper cutter,paper cutter,1,low-intensity
7,86,5,explosion,explosion,1,high-intensity
7,87,7,dove cooing,dove cooing,1,low-intensity
7,88,2,car windows,car windows,1,2
7,89,6,dialing,dialing,1,low-intensity
7,90,6,swimming,water splashing,0,2
7,91,5,arabic,arabic,1,2
7,92,6,owl hooting,owl hooting,1,low-intensity
7,93,6,microwave,microwave,1,low-intensity
7,94,2,lawn mower,lawn mower,1,high-intensity
7,95,2,air hockey,air hockey,1,3
7,96,1,school bell,school bell,1,high-intensity
7,97,2,cartoon sound effects,music box,0,3
7,98,5,writing on a chalkboard,writing on a chalkboard,1,2
7,99,5,shower,shower,1,3
7,100,7,duck quack,duck quack,1,3
7,101,2,doorbell,doorbell,1,high-intensity
7,102,2,drum solo,drum solo,1,high-intensity
7,103,2,shuffling,shuffling,1,low-intensity
7,104,7,rooster crowing,rooster crowing,1,high-intensity
7,105,5,windup toy,windup toy,1,low-intensity
7,106,2,woman speaking,woman speaking,1,3
7,107,6,knives sharpening,knives sharpening,1,2
7,108,1,tambourine,tambourine,1,3
7,109,4,bassoon,bassoon,1,3
7,110,3,bus decelerating,sails flapping,0,3
7,111,6,whale call,whale call,1,2
7,112,7,blender,blender,1,high-intensity
7,113,6,door sliding shut,door sliding shut,1,low-intensity
7,114,4,inflating a balloon,inflating a balloon,1,low-intensity
7,115,3,coin in a vending machine,coin in a vending machine,1,low-intensity
7,116,1,screwing in a nail,screwing in a nail,1,2
7,117,4,crow,crow,1,3
7,118,1,clipping hair,clipping hair,1,low-intensity
7,119,1,slot machine,slot machine,1,high-intensity
7,120,6,triangle,triangle,1,2
7,121,3,chopping wood,chopping wood,1,3
7,122,1,frog croaking,frog croaking,1,2
7,123,1,walking with heels,walking with heels,1,2
7,124,1,rubbing hands,rubbing hands,1,low-intensity
7,125,2,breathing,breathing,1,low-intensity
7,126,6,dishes clanking,dishes clanking,1,3
7,127,2,bagpipes,bagpipes,1,high-intensity
7,128,5,bathwater,bathwater,1,2
7,129,7,geese honking,geese honking,1,3
7,130,2,biting and chewing,biting and chewing,1,2
7,131,5,lion growl,lion growl,1,high-intensity
7,132,1,chopping food,writing on a chalkboard,0,low-intensity
7,133,2,car deccelerating,car deccelerating,1,low-intensity
7,134,5,shopping cart,shopping cart,1,2
7,135,4,basketball dribbling,basketball dribbling,1,2
7,136,2,dentist drill,dentist drill,1,high-intensity
7,137,2,opening a soda bottle,rollerblading,0,low-intensity
7,138,4,horse neighing,horse neighing,1,3
7,139,1,heart monitor,heart monitor,1,3
7,140,4,bees,bees,1,low-intensity
7,141,5,crowd cheering,crowd cheering,1,high-intensity
7,142,5,telephone ringing,telephone ringing,1,high-intensity
7,143,3,truck beeping,truck beeping,1,high-intensity
7,144,2,crowd booing,bees,0,high-intensity
7,145,3,busy signal,busy signal,1,2
7,146,2,scratching,scratching,1,low-intensity
7,147,7,thunder,thunder,1,high-intensity
7,148,4,gorilla,gorilla,1,3
7,149,2,mac startup sound,mac startup sound,1,low-intensity
7,150,4,laughing,laughing,1,high-intensity
7,151,4,helicopter,helicopter,1,high-intensity
7,152,2,slicing bread,slicing bread,1,low-intensity
7,153,2,darth vader,darth vader,1,2
7,154,4,tree falling,tree falling,1,high-intensity
7,155,3,writing on a whiteboard,writing on a whiteboard,1,low-intensity
7,156,4,tap dancing,tap dancing,1,high-intensity
7,157,6,wind chimes,wind chimes,1,3
7,158,4,cat purring,cat purring,1,low-intensity
7,159,5,whistling,whistling,1,2
7,160,3,orchestra tuning,orchestra tuning,1,high-intensity
7,161,3,brushing hair,brushing hair,1,low-intensity
7,162,7,witch cackle,witch cackle,1,high-intensity
7,163,2,dice roll,dice roll,1,low-intensity
7,164,3,grunting and groaning,grunting and groaning,1,2
7,165,7,toy squeaks,toy squeaks,1,3
7,166,1,locker closing,paper tearing,0,3
7,167,3,ice machine,ice machine,1,2
7,168,3,pool balls colliding,pool balls colliding,1,3
7,169,7,water splashing,water splashing,1,3
7,170,1,cicadas,cicadas,1,3
7,171,5,noisemaker,noisemaker,1,high-intensity
7,172,1,gunshots,gunshots,1,high-intensity
7,173,5,bicycle,bicycle,1,low-intensity
7,174,5,toilet flushing,toilet flushing,1,2
7,175,6,sheep,sheep,1,3
7,176,4,sighing,sighing,1,low-intensity
7,177,3,car idling,car idling,1,low-intensity
7,178,2,music box,music box,1,low-intensity
7,179,2,salt shaker,salt shaker,1,low-intensity
7,180,4,key opening door,chopping wood,0,low-intensity
7,181,7,heart beats,heart beats,1,low-intensity
7,182,3,ratchet,ratchet,1,2
7,183,1,scrubbing dishes,bathwater,0,2
7,184,3,russian,russian,1,2
7,185,2,car crash,balloondeflating,0,high-intensity
7,186,4,hammering metal,hammering metal,1,high-intensity
7,187,7,camera taking a picture,camera taking a picture,1,2
7,188,6,organ,organ,1,high-intensity
7,189,4,coins jingling in a pocket,coins jingling in a pocket,1,2
7,190,4,church bells,church bells,1,high-intensity
7,191,1,man speaking,man speaking,1,2
7,192,1,train passing by,rocking chair,0,high-intensity
7,193,5,dog barking,dog barking,1,high-intensity
7,194,3,fax,fax,1,2
7,195,3,cow mooing,cow mooing,1,3
7,196,4,car driving through a puddle,car driving through a puddle,1,2
7,197,4,harp,harp,1,2
7,198,3,camera turning on,camera turning on,1,low-intensity
7,199,4,waves,waves,1,3
7,200,6,jackhammer,jackhammer,1,high-intensity
7,201,4,window blinds,window blinds,1,2
7,202,6,walking on gravel,walking on gravel,1,2
7,203,4,sword fighting,sword fighting,1,3
7,204,3,pepper grinder,pepper grinder,1,2
7,205,6,zipper,zipper,1,low-intensity
7,206,3,water boiling,water boiling,1,low-intensity
7,207,3,drinking,drinking,1,low-intensity
7,208,3,bird song,bird song,1,2
7,209,6,volcanic eruption,volcanic eruption,1,high-intensity
7,210,6,peeling,air hockey,0,low-intensity
7,211,3,match lighting,match lighting,1,low-intensity
7,212,4,keys jingling,keys jingling,1,low-intensity
7,213,7,car horn,car horn,1,high-intensity
7,214,6,motorcycle revving,motorcycle revving,1,high-intensity
7,215,2,reception desk bell,reception desk bell,1,3
7,216,7,phone vibrating,phone vibrating,1,low-intensity
7,217,3,bowling,bowling,1,high-intensity
7,218,7,siren,siren,1,high-intensity
7,219,7,chiseling,chiseling,1,2
7,220,3,chicken cluck,chicken cluck,1,2
7,221,6,can opening,can opening,1,low-intensity
7,222,6,accordian,accordian,1,high-intensity
7,223,3,chainsaw revving,chainsaw revving,1,high-intensity
7,224,4,traffic noises,traffic noises,1,high-intensity
7,225,5,german,german,1,2
7,226,1,gargling,gargling,1,low-intensity
7,227,6,gavel hits,gavel hits,1,3
7,228,1,hammering a nail,hammering a nail,1,high-intensity
7,229,6,baby babbling,baby babbling,1,3
7,230,2,walking on a hard surface,walking on a hard surface,1,2
7,231,1,crowd noise,crowd noise,1,high-intensity
7,232,1,record scratching,record scratching,1,2
7,233,5,train warning bell,train warning bell,1,high-intensity
7,234,4,cello,cello,1,3
7,235,3,shoveling,shoveling,1,2
7,236,5,flag,rain,0,low-intensity
7,237,5,bike bell,bike bell,1,2
7,238,6,coffee machine,coffee machine,1,low-intensity
7,239,7,tuba,tuba,1,3
7,240,1,leather coat,leather coat,1,low-intensity
7,241,3,cricket,cricket,1,2
7,242,3,spray can shaking,spray can shaking,1,2
7,243,4,oldfashioned dialer,oldfashioned dialer,1,low-intensity
7,244,1,radar beeps,radar beeps,1,2
7,245,4,seagulls,seagulls,1,3
7,246,3,pig snorting,pig snorting,1,3
7,247,7,scream,scream,1,high-intensity
7,248,5,glass shattering,glass shattering,1,high-intensity
7,249,1,school hallway,school hallway,1,high-intensity
7,250,1,fan,fan,1,2
7,251,5,piano,piano,1,3
7,252,2,italian,italian,1,2
7,253,5,monkey screaming,monkey screaming,1,high-intensity
7,254,3,door opening,printing,0,2
7,255,2,spray can spraying,spray can spraying,1,low-intensity
7,256,1,clock ticking,clock ticking,1,low-intensity
7,257,2,shouting,shouting,1,high-intensity
7,258,3,a capella singing,a capella singing,1,3
7,259,6,wing flapping,wing flapping,1,low-intensity
7,260,7,nose blowing,nose blowing,1,3
7,261,2,baby crying,baby crying,1,high-intensity
7,262,2,sails flapping,sails flapping,1,3
