listener,listener_trial,mturk_worker,mturk_trial,level_condition,noise_condition,sound_heard,listener_response,mturk_response,proportion_correct,typical_source_intensity
13,165,553,12,4,0,duck quack,items rattling against each other like dice,duck quack,1,3
13,166,313,6,5,0,water boiling,elevator floor binging,water boiling,1,low-intensity
13,166,356,13,5,0,water boiling,elevator floor binging,water boiling,1,low-intensity
13,170,248,19,4,1,key opening door,high heels walking,sails flapping,0,low-intensity
13,170,479,1,4,1,key opening door,high heels walking,ice machine,0,low-intensity
13,171,233,41,7,0,camera taking a picture,frogs croaking,camera taking a picture,1,2
13,171,650,40,7,0,camera taking a picture,frogs croaking,camera taking a picture,1,2
13,174,770,16,3,0,music box,winding clock,music box,1,low-intensity
13,174,851,21,3,0,music box,winding clock,music box,1,low-intensity
13,175,22,49,7,1,applause,dialing on home phone,applause,1,high-intensity
13,175,604,17,7,1,applause,dialing on home phone,applause,1,high-intensity
13,177,126,39,4,0,car accelerating,pouring water onto dirt,car accelerating,1,2
13,177,807,16,4,0,car accelerating,pouring water onto dirt,car accelerating,1,2
13,179,657,20,7,1,frog croaking,electric razer,banjo,0.5,2
13,179,852,29,7,1,frog croaking,electric razer,frog croaking,0.5,2
13,181,182,33,4,0,dialing,metal gate closing then footsteps,dialing,1,low-intensity
13,181,359,24,4,0,dialing,metal gate closing then footsteps,dialing,1,low-intensity
13,183,297,5,2,1,dishes clanking,cranking,dishes clanking,1,3
13,183,326,32,2,1,dishes clanking,cranking,dishes clanking,1,3
13,184,650,36,3,0,clipping hair,knife sharpening,shouting,0.5,low-intensity
13,184,710,2,3,0,clipping hair,knife sharpening,clipping hair,0.5,low-intensity
13,187,22,50,7,1,crowd booing,morse code instrument,bus accelerating,0,high-intensity
13,187,147,13,7,1,crowd booing,morse code instrument,shoveling,0,high-intensity
13,188,195,29,2,0,church bells,upright string bass,church bells,1,high-intensity
13,188,218,4,2,0,church bells,upright string bass,church bells,1,high-intensity
13,189,132,36,4,1,microwave,hands rubbing against each other,microwave,1,low-intensity
13,189,238,9,4,1,microwave,hands rubbing against each other,microwave,1,low-intensity
13,190,178,28,6,0,humming,tuba,humming,1,low-intensity
13,190,805,45,6,0,humming,tuba,humming,1,low-intensity
13,191,558,35,4,0,kid speaking,copy machine,kid speaking,1,3
13,191,795,50,4,0,kid speaking,copy machine,kid speaking,1,3
13,192,336,5,6,0,keys jingling,thunderstorm,keys jingling,0.5,low-intensity
13,192,894,3,6,0,keys jingling,thunderstorm,screwing off a lid,0.5,low-intensity
13,194,126,11,2,1,fire,sawing a board,fire,1,low-intensity
13,194,915,36,2,1,fire,sawing a board,fire,1,low-intensity
13,197,825,31,3,1,fax,hammering against an anvil,fax,0.5,2
13,197,862,33,3,1,fax,hammering against an anvil,grating food,0.5,2
13,198,148,39,7,1,grating food,water boiling,grating food,1,low-intensity
13,198,272,38,7,1,grating food,water boiling,grating food,1,low-intensity
13,201,336,3,3,1,cicadas,deck of cards being flipped through,cicadas,1,3
13,201,440,24,3,1,cicadas,deck of cards being flipped through,cicadas,1,3
13,203,217,33,5,0,organ,water faucet on high,organ,1,high-intensity
13,203,425,14,5,0,organ,water faucet on high,organ,1,high-intensity
13,204,28,36,3,1,cat meow,basketball dribbling,cat meow,1,2
13,204,96,10,3,1,cat meow,basketball dribbling,cat meow,1,2
13,206,321,19,7,0,drawer opening,racecar driving,door opening,0,low-intensity
13,206,657,8,7,0,drawer opening,racecar driving,running up stairs,0,low-intensity
13,207,139,36,3,1,guitar,tambourine,guitar,1,3
13,207,891,3,3,1,guitar,tambourine,guitar,1,3
13,208,73,27,4,0,dog whining,pig oinking,dog whining,1,3
13,208,646,32,4,0,dog whining,pig oinking,dog whining,1,3
13,209,272,41,2,1,castanet,harp,castanet,1,3
13,209,766,7,2,1,castanet,harp,castanet,1,3
13,210,470,19,2,1,coins dropping,lawn mower,coins dropping,0.5,low-intensity
13,210,786,18,2,1,coins dropping,lawn mower,coin in a vending machine,0.5,low-intensity
13,213,766,2,6,0,banjo,opening door,banjo,1,high-intensity
13,213,921,15,6,0,banjo,opening door,banjo,1,high-intensity
13,214,585,44,3,1,inflating a balloon,dog yapping,baby babbling,0,low-intensity
13,214,819,13,3,1,inflating a balloon,dog yapping,bassoon,0,low-intensity
13,215,367,40,5,0,dialup,orchestra strings tuning,dialup,1,3
13,215,624,20,5,0,dialup,orchestra strings tuning,dialup,1,3
13,216,447,48,3,1,bus accelerating,toilet flushing,bus accelerating,1,2
13,216,834,42,3,1,bus accelerating,toilet flushing,bus accelerating,1,2
13,217,398,2,2,0,crowd cheering,microwave start button,crowd cheering,1,high-intensity
13,217,513,48,2,0,crowd cheering,microwave start button,crowd cheering,1,high-intensity
13,218,405,8,5,1,ice machine,little boy speaking gibberish English,ice machine,1,2
13,218,654,28,5,1,ice machine,little boy speaking gibberish English,ice machine,1,2
13,219,386,42,7,1,bike bell,dinner party adults chatting,bike bell,0.5,2
13,219,895,14,7,1,bike bell,dinner party adults chatting,record scratching,0.5,2
13,220,136,44,3,0,crowd noise,fork against plate,crowd noise,1,high-intensity
13,220,819,32,3,0,crowd noise,fork against plate,crowd noise,1,high-intensity
13,222,361,41,7,1,fire alarm,school bell ringing,coins dropping,0,high-intensity
13,222,826,13,7,1,fire alarm,school bell ringing,chair rolling,0,high-intensity
13,224,659,41,6,1,pepper grinder,aircraft landing,pepper grinder,0.5,2
13,224,895,50,6,1,pepper grinder,aircraft landing,traffic noises,0.5,2
13,226,211,34,2,1,reception desk bell,jackhammering,reception desk bell,1,3
13,226,453,20,2,1,reception desk bell,jackhammering,reception desk bell,1,3
13,229,589,46,2,0,gargling,guiro,gargling,1,low-intensity
13,229,794,11,2,0,gargling,guiro,gargling,1,low-intensity
13,231,95,48,6,1,chopping food,walking with a cane,tennis volley,0,low-intensity
13,231,247,11,6,1,chopping food,walking with a cane,horse galloping,0,low-intensity
13,235,298,47,2,1,accordian,woman crying/sobbing,door sliding shut,0.5,high-intensity
13,235,356,45,2,1,accordian,woman crying/sobbing,accordian,0.5,high-intensity
13,237,589,41,3,1,kettle whistling,male walking,kettle whistling,1,3
13,237,790,27,3,1,kettle whistling,male walking,kettle whistling,1,3
13,238,233,40,5,0,rattlesnake,clicking sounds,rattlesnake,0.5,2
13,238,330,22,5,0,rattlesnake,clicking sounds,scrubbing dishes,0.5,2
13,240,62,41,6,1,baby crying,shoveling dirt,baby crying,1,high-intensity
13,240,106,27,6,1,baby crying,shoveling dirt,baby crying,1,high-intensity
13,241,201,18,7,1,car engine starting,synthesized piano chord,car engine starting,1,3
13,241,722,38,7,1,car engine starting,synthesized piano chord,car engine starting,1,3
13,242,235,43,6,1,cat purring,eagle,rollerblading,0.5,low-intensity
13,242,576,25,6,1,cat purring,eagle,cat purring,0.5,low-intensity
13,243,152,8,4,0,cash register,harmonica,cash register,1,2
13,243,420,8,4,0,cash register,harmonica,cash register,1,2
13,246,28,42,2,0,crying,rolling dice,crying,1,high-intensity
13,246,96,17,2,0,crying,rolling dice,crying,1,high-intensity
13,247,435,46,2,0,drawer closing,fishing rod,horse galloping,0.5,low-intensity
13,247,672,49,2,0,drawer closing,fishing rod,drawer closing,0.5,low-intensity
13,248,147,37,6,0,bowling,photocopying,bowling,1,high-intensity
13,248,865,15,6,0,bowling,photocopying,bowling,1,high-intensity
13,249,530,1,4,1,alarm clock,dentist drill,alarm clock,0.5,high-intensity
13,249,549,7,4,1,alarm clock,dentist drill,traffic noises,0.5,high-intensity
13,250,318,20,5,0,whistle,dropping coin into a tin can,whistle,1,high-intensity
13,250,691,18,5,0,whistle,dropping coin into a tin can,whistle,1,high-intensity
13,251,286,44,6,1,bus decelerating,flute,humming,0,3
13,251,733,50,6,1,bus decelerating,flute,car deccelerating,0,3
13,252,288,48,4,1,match lighting,car moving,match lighting,0.5,low-intensity
13,252,521,6,4,1,match lighting,car moving,helicopter,0.5,low-intensity
13,253,368,7,6,0,pager beeps,orchestra sounds  recorded long ago,pager beeps,1,3
13,253,912,31,6,0,pager beeps,orchestra sounds  recorded long ago,pager beeps,1,3
13,257,375,25,3,0,jackhammer,static,jackhammer,1,high-intensity
13,257,621,29,3,0,jackhammer,static,jackhammer,1,high-intensity
13,258,398,31,6,1,coffee machine,male laughing,chiseling,0,low-intensity
13,258,536,47,6,1,coffee machine,male laughing,shoveling,0,low-intensity
13,259,361,22,3,0,walking on leaves,change in pocket,walking on leaves,1,2
13,259,410,20,3,0,walking on leaves,change in pocket,walking on leaves,1,2
13,260,289,44,5,0,lion growl,bagpipes,lion growl,1,high-intensity
13,260,544,42,5,0,lion growl,bagpipes,lion growl,1,high-intensity
13,261,33,23,2,1,dog drinking,concert piano,dog drinking,1,2
13,261,646,46,2,1,dog drinking,concert piano,dog drinking,1,2
13,262,672,5,3,0,car idling,male stretching,car idling,0.5,low-intensity
13,262,834,31,3,0,car idling,male stretching,chainsaw revving,0.5,low-intensity
13,264,673,13,6,1,door creaking,popcorn popping,door creaking,1,2
13,264,786,5,6,1,door creaking,popcorn popping,door creaking,1,2
13,265,121,31,3,1,pinball,truck moving,pinball,1,high-intensity
13,265,739,43,3,1,pinball,truck moving,pinball,1,high-intensity
13,266,248,46,5,0,dial tone,scotch tape,dial tone,1,low-intensity
13,266,826,18,5,0,dial tone,scotch tape,dial tone,1,low-intensity
13,268,97,31,5,1,gunshots,tap dancing,hammering a nail,0,high-intensity
13,268,410,35,5,1,gunshots,tap dancing,walking on a hard surface,0,high-intensity
13,269,11,41,6,0,horse neighing,truck backing up,horse neighing,1,3
13,269,607,7,6,0,horse neighing,truck backing up,horse neighing,1,3
13,270,650,24,7,0,dentist drill,shop bell "ring for service",dentist drill,1,high-intensity
13,270,739,2,7,0,dentist drill,shop bell "ring for service",dentist drill,1,high-intensity
13,271,103,18,4,0,soda pouring into a cup,cat purring,soda pouring into a cup,1,low-intensity
13,271,730,39,4,0,soda pouring into a cup,cat purring,soda pouring into a cup,1,low-intensity
13,272,450,42,6,0,geese honking,bells jingling,geese honking,0.5,3
13,272,886,9,6,0,geese honking,bells jingling,seagulls,0.5,3
13,273,195,5,7,1,clock ticking,person knocking on heavy door,clock ticking,0.5,low-intensity
13,273,326,37,7,1,clock ticking,person knocking on heavy door,screwing off a lid,0.5,low-intensity
13,275,278,8,6,0,orchestra tuning,heartbeat,orchestra tuning,1,high-intensity
13,275,850,10,6,0,orchestra tuning,heartbeat,orchestra tuning,1,high-intensity
13,277,278,21,2,0,acoustic bass,doorbell minor 3rd,acoustic bass,1,2
13,277,507,45,2,0,acoustic bass,doorbell minor 3rd,acoustic bass,1,2
13,280,117,8,2,1,harmonica,thunderstorm,harmonica,1,3
13,280,583,12,2,1,harmonica,thunderstorm,harmonica,1,3
13,281,375,13,2,1,boat horn,seal,boat horn,1,high-intensity
13,281,906,31,2,1,boat horn,seal,boat horn,1,high-intensity
13,282,103,11,3,1,chopping wood,tea kettle whistling,chopping wood,1,3
13,282,221,33,3,1,chopping wood,tea kettle whistling,chopping wood,1,3
13,283,750,28,3,1,car skidding,acoustic guitar,car skidding,1,high-intensity
13,283,855,16,3,1,car skidding,acoustic guitar,car skidding,1,high-intensity
13,285,32,41,6,1,car driving through a puddle,gorilla in distance,noisemaker,0,2
13,285,739,19,6,1,car driving through a puddle,gorilla in distance,zipper,0,2
13,288,90,40,2,1,coloring,crunching,can opening,0.5,low-intensity
13,288,420,2,2,1,coloring,crunching,coloring,0.5,low-intensity
13,290,419,4,3,1,paper shredder,older cell phone ringtone,ice machine,0.5,high-intensity
13,290,423,29,3,1,paper shredder,older cell phone ringtone,paper shredder,0.5,high-intensity
13,292,68,41,2,1,knives sharpening,sliding or scraping,oldfashioned dialer,0.5,2
13,292,193,23,2,1,knives sharpening,sliding or scraping,knives sharpening,0.5,2
13,293,682,4,5,1,wind chimes,ice in glass,wind chimes,1,3
13,293,784,16,5,1,wind chimes,ice in glass,wind chimes,1,3
13,294,481,33,7,1,cello,car horns in traffic,organ,0,3
13,294,617,35,7,1,cello,car horns in traffic,busy signal,0,3
13,295,608,15,4,1,car deccelerating,hammering a nail,car accelerating,0.5,low-intensity
13,295,743,40,4,1,car deccelerating,hammering a nail,car deccelerating,0.5,low-intensity
13,299,14,8,7,0,biting and chewing,bass drum,walking on gravel,0,2
13,299,719,28,7,0,biting and chewing,bass drum,pepper grinder,0,2
13,300,834,35,6,0,drum roll,accordian,drum roll,1,high-intensity
13,300,862,6,6,0,drum roll,accordian,drum roll,1,high-intensity
14,1,706,41,6,0,lion growl,bagpipes,lion growl,1,high-intensity
14,1,852,16,6,0,lion growl,bagpipes,lion growl,1,high-intensity
14,2,61,21,4,0,car crash,ukelele,tree falling,0.5,high-intensity
14,2,422,18,4,0,car crash,ukelele,car crash,0.5,high-intensity
14,3,298,38,6,1,wind chimes,ice in a cup,typing,0.5,3
14,3,582,41,6,1,wind chimes,ice in a cup,wind chimes,0.5,3
14,5,513,6,7,0,bowling,static from a tv,bowling,1,high-intensity
14,5,882,1,7,0,bowling,static from a tv,bowling,1,high-intensity
14,6,182,18,6,0,dice roll,an organ,dice roll,1,low-intensity
14,6,824,30,6,0,dice roll,an organ,dice roll,1,low-intensity
14,9,650,42,2,0,car horn,a saw ,car horn,1,high-intensity
14,9,794,35,2,0,car horn,a saw ,car horn,1,high-intensity
14,11,345,21,6,1,witch cackle,a horn from a ship,witch cackle,1,high-intensity
14,11,494,44,6,1,witch cackle,a horn from a ship,witch cackle,1,high-intensity
14,12,68,26,2,0,drawer opening,racing cars,turning a lock,0,low-intensity
14,12,664,41,2,0,drawer opening,racing cars,bowling,0,low-intensity
14,15,390,40,6,0,dial tone,seperation of velcroe sp?,dial tone,1,low-intensity
14,15,397,3,6,0,dial tone,seperation of velcroe sp?,dial tone,1,low-intensity
14,15,406,34,6,0,dial tone,seperation of velcroe sp?,dial tone,1,low-intensity
14,16,147,26,7,1,chopping food,ping pong balls,chopping food,1,low-intensity
14,16,418,29,7,1,chopping food,ping pong balls,chopping food,1,low-intensity
14,17,538,38,5,0,duck quack,pouring a drink,duck quack,1,3
14,17,706,38,5,0,duck quack,pouring a drink,duck quack,1,3
14,18,208,48,5,1,microwave,wiping of a smooth material ,water boiling,0.5,low-intensity
14,18,607,44,5,1,microwave,wiping of a smooth material ,microwave,0.5,low-intensity
14,19,56,25,6,1,grunting and groaning,cymbals ,grunting and groaning,1,2
14,19,855,2,6,1,grunting and groaning,cymbals ,grunting and groaning,1,2
14,22,75,29,2,0,heart monitor,a crossing bell for a train,heart monitor,1,3
14,22,400,8,2,0,heart monitor,a crossing bell for a train,heart monitor,1,3
14,24,549,35,3,1,dishes clanking,pliers being used to tighten a screw,windup toy,0.5,3
14,24,733,9,3,1,dishes clanking,pliers being used to tighten a screw,dishes clanking,0.5,3
14,25,768,43,4,1,cicadas,something being cut,cicadas,1,3
14,25,876,24,4,1,cicadas,something being cut,cicadas,1,3
14,26,289,16,4,0,water dripping,a rattlesnakes tail,water dripping,1,low-intensity
14,26,633,39,4,0,water dripping,a rattlesnakes tail,water dripping,1,low-intensity
14,27,89,25,7,1,pepper grinder,the wind ,pepper grinder,1,2
14,27,783,43,7,1,pepper grinder,the wind ,pepper grinder,1,2
14,28,393,23,7,0,marching,cutting sound with a scissors,marching,1,3
14,28,507,15,7,0,marching,cutting sound with a scissors,marching,1,3
14,29,561,27,3,0,crowd cheering,a microwave being used,crowd cheering,1,high-intensity
14,29,691,12,3,0,crowd cheering,a microwave being used,crowd cheering,1,high-intensity
14,32,494,35,3,1,boat horn,a seal calling out ,boat horn,1,high-intensity
14,32,784,26,3,1,boat horn,a seal calling out ,boat horn,1,high-intensity
14,33,89,35,5,0,rain,church bells ,rain,1,3
14,33,713,37,5,0,rain,church bells ,rain,1,3
14,34,691,7,7,1,cat purring,seagulls,cat purring,1,low-intensity
14,34,915,16,7,1,cat purring,seagulls,cat purring,1,low-intensity
14,35,296,16,2,1,finger tapping,the wind blowing ,finger tapping,1,low-intensity
14,35,659,31,2,1,finger tapping,the wind blowing ,finger tapping,1,low-intensity
14,37,190,3,2,0,air hockey,cutting of paper,air hockey,0.5,3
14,37,706,2,2,0,air hockey,cutting of paper,opening a soda bottle,0.5,3
14,39,398,42,3,1,plane taking off,a cash register being opened,plane taking off,0.5,high-intensity
14,39,733,1,3,1,plane taking off,a cash register being opened,lion growl,0.5,high-intensity
14,40,121,2,7,1,bees,a ball hitting the table,bees,1,low-intensity
14,40,591,49,7,1,bees,a ball hitting the table,bees,1,low-intensity
14,41,588,17,7,0,banjo,a car door being opened,banjo,1,high-intensity
14,41,642,15,7,0,banjo,a car door being opened,banjo,1,high-intensity
14,42,422,24,5,1,key opening door,someone walking in high heels,key opening door,0.5,low-intensity
14,42,447,41,5,1,key opening door,someone walking in high heels,chiseling,0.5,low-intensity
14,47,310,48,3,1,castanet,a harp being played,mac startup sound,0,3
14,47,895,43,3,1,castanet,a harp being played,banjo,0,3
14,49,270,50,3,0,bicycle,someone drinking ,bicycle,1,low-intensity
14,49,385,45,3,0,bicycle,someone drinking ,bicycle,1,low-intensity
14,50,195,8,5,0,dog whining,a hog or pig sound,dog whining,1,3
14,50,898,30,5,0,dog whining,a hog or pig sound,dog whining,1,3
14,51,178,10,5,0,drinking,tightening of a screw with a wrench,drinking,1,low-intensity
14,51,513,25,5,0,drinking,tightening of a screw with a wrench,drinking,1,low-intensity
14,53,815,42,4,1,piano,an automatic car window being rolled down,piano,1,3
14,53,834,25,4,1,piano,an automatic car window being rolled down,piano,1,3
14,58,394,43,4,1,shoveling,a pager ringing or phone,shoveling,1,2
14,58,912,39,4,1,shoveling,a pager ringing or phone,shoveling,1,2
14,59,394,32,5,0,brushing hair,rain drops,paper shredder,0,low-intensity
14,59,692,8,5,0,brushing hair,rain drops,sails flapping,0,low-intensity
14,60,842,49,2,1,clock ticking,hammer bangin on a flat surface,clock ticking,1,low-intensity
14,60,870,37,2,1,clock ticking,hammer bangin on a flat surface,clock ticking,1,low-intensity
14,62,345,25,7,0,horse neighing,the alarm sound of a large vehicle backing up,horse neighing,1,3
14,62,786,3,7,0,horse neighing,the alarm sound of a large vehicle backing up,horse neighing,1,3
14,63,145,18,4,1,cat meow,bouncing a basketball,cat meow,1,2
14,63,217,12,4,1,cat meow,bouncing a basketball,cat meow,1,2
14,64,105,5,4,0,music box,winding of a jack-in-a-box,music box,1,low-intensity
14,64,131,15,4,0,music box,winding of a jack-in-a-box,music box,1,low-intensity
14,65,650,34,7,1,door creaking,not sure,door creaking,1,2
14,65,673,16,7,1,door creaking,not sure,door creaking,1,2
14,66,235,28,4,0,clipping hair,a knife bing sharpened,hawk screech,0.5,low-intensity
14,66,326,19,4,0,clipping hair,a knife bing sharpened,clipping hair,0.5,low-intensity
14,67,390,28,7,1,baby crying,laying/ smoothing cement,baby crying,1,high-intensity
14,67,576,1,7,1,baby crying,laying/ smoothing cement,baby crying,1,high-intensity
14,68,145,17,2,1,fire alarm,a school bell ringing,car alarm,0.5,high-intensity
14,68,420,45,2,1,fire alarm,a school bell ringing,fire alarm,0.5,high-intensity
14,69,169,1,3,1,elevator door,a roulette ball being rolled,car horn,0.5,2
14,69,819,40,3,1,elevator door,a roulette ball being rolled,elevator door,0.5,2
14,72,493,36,7,1,bus decelerating,a clarinet or flute being played,peeling,0,3
14,72,750,9,7,1,bus decelerating,a clarinet or flute being played,printing,0,3
14,73,356,9,6,0,dialup,a full orchestra playing music,dialup,0.5,3
14,73,894,5,6,0,dialup,a full orchestra playing music,dial tone,0.5,3
14,74,11,22,4,0,car idling,a man making stretching sounds,car idling,1,low-intensity
14,74,561,23,4,0,car idling,a man making stretching sounds,car idling,1,low-intensity
14,75,356,17,4,1,drink fizzing,rain drops hitting puddles on the ground,drink fizzing,1,low-intensity
14,75,501,36,4,1,drink fizzing,rain drops hitting puddles on the ground,drink fizzing,1,low-intensity
14,76,28,32,3,1,dog drinking,a piano being played,dog drinking,1,2
14,76,896,32,3,1,dog drinking,a piano being played,dog drinking,1,2
14,77,345,30,6,0,whistle,a coin being dropped in a cup,whistle,1,high-intensity
14,77,654,2,6,0,whistle,a coin being dropped in a cup,whistle,1,high-intensity
14,79,97,44,3,1,paper cutter,a seagull,electric drill,0.5,low-intensity
14,79,398,30,3,1,paper cutter,a seagull,paper cutter,0.5,low-intensity
14,80,538,42,2,0,cricket,zipper being unzipped,cricket,1,2
14,80,835,2,2,0,cricket,zipper being unzipped,cricket,1,2
14,81,427,35,2,0,ping pong,a car slamming on it's breaks,ping pong,1,3
14,81,476,11,2,0,ping pong,a car slamming on it's breaks,ping pong,1,3
14,82,412,13,2,0,toilet flushing,ice dipenser releasing ice in a cup,toilet flushing,1,2
14,82,770,23,2,0,toilet flushing,ice dipenser releasing ice in a cup,toilet flushing,1,2
14,83,68,1,6,1,a capella singing,crumbling of paper,dog panting,0.5,3
14,83,356,19,6,1,a capella singing,crumbling of paper,a capella singing,0.5,3
14,84,85,6,5,0,dialing,not sure,dialing,1,low-intensity
14,84,125,34,5,0,dialing,not sure,dialing,1,low-intensity
14,85,423,23,6,0,fireworks,people speaking in a croweded area,fireworks,1,high-intensity
14,85,530,43,6,0,fireworks,people speaking in a croweded area,fireworks,1,high-intensity
14,86,568,21,6,1,locker closing,lettuce being chopped up with a knife,locker closing,1,3
14,86,845,33,6,1,locker closing,lettuce being chopped up with a knife,locker closing,1,3
14,90,243,12,7,1,coffee machine,a man laughing,coffee machine,0.5,low-intensity
14,90,882,5,7,1,coffee machine,a man laughing,gargling,0.5,low-intensity
14,91,303,45,3,0,basketball dribbling,a file cabinet drawer being closed,basketball dribbling,1,2
14,91,914,16,3,0,basketball dribbling,a file cabinet drawer being closed,basketball dribbling,1,2
14,92,513,23,2,1,leather coat,a baby saying da da da,leather coat,0.5,low-intensity
14,92,627,32,2,1,leather coat,a baby saying da da da,paper shredder,0.5,low-intensity
14,98,131,44,2,1,car engine starting,a church bell ,door opening,0,3
14,98,722,48,2,1,car engine starting,a church bell ,windows startup sound,0,3
14,99,855,1,3,1,accordian,a girl cryin,accordian,0.5,high-intensity
14,99,895,30,3,1,accordian,a girl cryin,fire,0.5,high-intensity
14,100,169,19,6,0,gong,not sure,gong,1,high-intensity
14,100,271,30,6,0,gong,not sure,gong,1,high-intensity
14,101,521,20,3,1,reception desk bell,a jackhaemmer being used,reception desk bell,0.5,3
14,101,764,1,3,1,reception desk bell,a jackhaemmer being used,bike bell,0.5,3
14,102,582,34,7,0,humming,a tuba being played,humming,1,low-intensity
14,102,704,11,7,0,humming,a tuba being played,humming,1,low-intensity
14,103,384,16,2,0,camera taking a picture,a frog ,camera taking a picture,1,2
14,103,481,36,2,0,camera taking a picture,a frog ,camera taking a picture,1,2
14,107,543,45,5,1,alarm clock,a vacuum cleaner being used,noisemaker,0,high-intensity
14,107,682,43,5,1,alarm clock,a vacuum cleaner being used,truck beeping,0,high-intensity
14,109,61,14,2,0,crumpling paper,a ballerina toy being played,a capella singing,0.5,2
14,109,556,36,2,0,crumpling paper,a ballerina toy being played,crumpling paper,0.5,2
14,110,534,21,6,0,coughing,a wild cat roaring,coughing,1,3
14,110,642,30,6,0,coughing,a wild cat roaring,coughing,1,3
14,112,169,29,7,1,rocking chair,a wolf howlikng,toy squeaks,0,3
14,112,421,40,7,1,rocking chair,a wolf howlikng,dentist drill,0,3
14,113,205,46,4,1,flag,the scratching of something,flag,1,low-intensity
14,113,752,36,4,1,flag,the scratching of something,flag,1,low-intensity
14,115,410,40,4,0,morse code,not sure,morse code,1,3
14,115,589,9,4,0,morse code,not sure,morse code,1,3
14,116,356,49,2,1,frog croaking,a razor being used,frog croaking,1,2
14,116,459,48,2,1,frog croaking,a razor being used,frog croaking,1,2
14,119,621,42,3,1,knives sharpening,a lever of some kind being pulled down,knives sharpening,1,2
14,119,847,46,3,1,knives sharpening,a lever of some kind being pulled down,knives sharpening,1,2
14,120,440,45,5,1,match lighting,a car driving off,match lighting,0.5,low-intensity
14,120,591,22,5,1,match lighting,a car driving off,blender,0.5,low-intensity
14,121,212,41,5,0,opening a letter,a woman speaking hindu,opening a letter,1,low-intensity
14,121,691,24,5,0,opening a letter,a woman speaking hindu,opening a letter,1,low-intensity
14,122,733,17,7,1,chair rolling,a quartet/quintet of somekind,chair rolling,1,low-intensity
14,122,798,15,7,1,chair rolling,a quartet/quintet of somekind,chair rolling,1,low-intensity
14,124,750,7,2,1,opening a soda bottle,a man speaking spanish,rollerblading,0,low-intensity
14,124,882,20,2,1,opening a soda bottle,a man speaking spanish,sleigh bells,0,low-intensity
14,125,587,42,3,0,ice in cup,not sure,ice in cup,1,low-intensity
14,125,691,22,3,0,ice in cup,not sure,ice in cup,1,low-intensity
14,126,730,47,3,1,frying,sheep baaing,frying,0.5,2
14,126,911,14,3,1,frying,sheep baaing,bowling,0.5,2
14,129,476,21,5,0,kid speaking,a printer printing ,kid speaking,1,3
14,129,815,33,5,0,kid speaking,a printer printing ,kid speaking,1,3
14,130,218,30,6,1,oboe,a woman speaking in German,oboe,0.5,3
14,130,515,2,6,1,oboe,a woman speaking in German,cello,0.5,3
14,133,435,42,4,1,guitar,a tamboring being used,guitar,1,3
14,133,911,7,4,1,guitar,a tamboring being used,guitar,1,3
14,135,106,44,6,1,ice machine,a boy talking,ice machine,1,2
14,135,664,11,6,1,ice machine,a boy talking,ice machine,1,2
14,139,221,14,2,1,cello,horns and cars in traffic,cello,1,3
14,139,530,36,2,1,cello,horns and cars in traffic,cello,1,3
14,142,706,10,2,0,scissors cutting paper,a clarinet being played,scissors cutting paper,1,low-intensity
14,142,713,26,2,0,scissors cutting paper,a clarinet being played,scissors cutting paper,1,low-intensity
14,144,195,37,6,1,fan,someone running ,fan,0.5,2
14,144,487,16,6,1,fan,someone running ,record scratching,0.5,2
14,145,369,1,2,1,bike bell,people speaking in a group settign,bike bell,1,2
14,145,666,24,2,1,bike bell,people speaking in a group settign,bike bell,1,2
14,146,132,29,5,0,man speaking,a party horn being plown,man speaking,1,2
14,146,800,45,5,0,man speaking,a party horn being plown,man speaking,1,2
14,147,195,15,3,0,gorilla,puddles of water being played in,crying,0.5,3
14,147,394,39,3,0,gorilla,puddles of water being played in,gorilla,0.5,3
14,148,369,32,4,1,car skidding,a guitar being played,car skidding,1,high-intensity
14,148,738,17,4,1,car skidding,a guitar being played,car skidding,1,high-intensity
14,150,121,37,6,0,jumping rope,tearing of something,popcorn popping,0.5,2
14,150,826,20,6,0,jumping rope,tearing of something,jumping rope,0.5,2
14,151,412,39,5,1,car deccelerating,hammer being banged on a flat surface,water boiling,0,low-intensity
14,151,774,21,5,1,car deccelerating,hammer being banged on a flat surface,hair dryer,0,low-intensity
14,152,208,21,2,1,crowd booing,buttons being pressed for a transmission,dentist drill,0.5,high-intensity
14,152,242,33,2,1,crowd booing,buttons being pressed for a transmission,crowd booing,0.5,high-intensity
14,153,368,42,4,1,kettle whistling,someone walking in heels or boots,kettle whistling,1,3
14,153,395,44,4,1,kettle whistling,someone walking in heels or boots,kettle whistling,1,3
14,156,272,5,2,1,hawk screech,not sure,hawk screech,1,3
14,156,851,32,2,1,hawk screech,not sure,hawk screech,1,3
14,158,568,27,6,1,door opening,a doorbell being rang,door opening,0.5,2
14,158,791,50,6,1,door opening,a doorbell being rang,motorcycle revving,0.5,2
14,160,169,13,4,1,bus accelerating,a toilet being flushed,bus accelerating,1,2
14,160,832,22,4,1,bus accelerating,a toilet being flushed,bus accelerating,1,2
14,161,147,15,5,0,cash register,a harmonica being played,cash register,1,2
14,161,912,25,5,0,cash register,a harmonica being played,cash register,1,2
14,162,297,40,3,0,acoustic bass,a doorbell beinr rung,electric bass,0.5,2
14,162,730,7,3,0,acoustic bass,a doorbell beinr rung,acoustic bass,0.5,2
